,is F,Joined Group on,Last visited group on,Last Attended,Total RSVPs,RSVPed Yes,RSVPed Maybe,RSVPed No,Meetups attended,Intro,Photo,Assistant Organizer,Mailing List
56,,"March 20, 2018","March 20, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
57,,"January 29, 2018","January 29, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
58,,"September 29, 2017","September 29, 2017",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
59,,"January 8, 2018","June 5, 2018","March 2, 2018",3.0,3.0,0.0,0.0,2.0,No,Yes,No,Yes
60,,"June 5, 2018","June 5, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
61,,"June 14, 2018","June 14, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
62,,"February 19, 2018","February 19, 2018","March 2, 2018",1.0,1.0,0.0,0.0,1.0,No,Yes,No,Yes
63,,"September 12, 2017","May 25, 2018","March 2, 2018",3.0,3.0,0.0,0.0,2.0,No,Yes,No,Yes
64,,"January 9, 2018","February 28, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
65,,"February 19, 2018","February 19, 2018","March 2, 2018",1.0,1.0,0.0,0.0,1.0,No,Yes,No,Yes
66,,"September 7, 2017","May 29, 2018",,3.0,1.0,0.0,2.0,0.0,No,No,No,Yes
67,1.0,"March 1, 2018","March 1, 2018",,0.0,0.0,0.0,0.0,0.0,No,No,No,Yes
68,,"June 10, 2018","June 10, 2018",,1.0,1.0,0.0,0.0,0.0,No,No,No,Yes
69,,"May 11, 2018","June 11, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
70,,"January 10, 2018","January 10, 2018","January 12, 2018",1.0,1.0,0.0,0.0,1.0,No,Yes,No,Yes
71,,"January 29, 2018","January 29, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
72,,"February 25, 2018","March 1, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
73,1.0,"February 20, 2018","February 20, 2018",,0.0,0.0,0.0,0.0,0.0,No,No,No,Yes
74,,"February 26, 2018","February 28, 2018",,1.0,0.0,0.0,1.0,0.0,No,No,No,Yes
75,,"August 2, 2017","August 2, 2017",,0.0,0.0,0.0,0.0,0.0,No,No,No,Yes
76,,"June 9, 2018","June 9, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
77,1.0,"March 1, 2018","March 1, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
78,,"June 1, 2018","June 3, 2018",,1.0,1.0,0.0,0.0,0.0,No,Yes,No,Yes
79,,"July 24, 2017","February 19, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
80,,"February 17, 2018","March 2, 2018","March 2, 2018",1.0,1.0,0.0,0.0,1.0,No,Yes,No,Yes
81,,"February 27, 2018","May 25, 2018",,1.0,1.0,0.0,0.0,0.0,No,Yes,No,Yes
